Datetime,Open,High,Low,Close,Adj Close,Volume
2022-07-28 09:30:00-04:00,840.2000122070312,846.389892578125,837.5,846.2310180664062,846.2310180664062,1984021
2022-07-28 09:31:00-04:00,846.2830200195312,848.3389892578125,845.0,846.0418090820312,846.0418090820312,364025
2022-07-28 09:32:00-04:00,846.3599853515625,848.6300048828125,844.0001220703125,844.4091796875,844.4091796875,264402
2022-07-28 09:33:00-04:00,844.2100219726562,845.7299194335938,838.5999755859375,843.1165771484375,843.1165771484375,284392
2022-07-28 09:34:00-04:00,844.0,847.8900146484375,844.0,847.280029296875,847.280029296875,226441
2022-07-28 09:35:00-04:00,848.6416015625,848.6416015625,848.4500122070312,848.6400146484375,848.6400146484375,304719
2022-07-28 09:36:00-04:00,848.5,849.1300048828125,846.2999877929688,846.510009765625,846.510009765625,181344
2022-07-28 09:37:00-04:00,845.5,847.6900024414062,845.5,846.1500244140625,846.1500244140625,118840
2022-07-28 09:38:00-04:00,846.0,846.5,842.5999755859375,843.260009765625,843.260009765625,171891
2022-07-28 09:39:00-04:00,844.6099853515625,844.8599243164062,842.739990234375,842.739990234375,842.739990234375,142562
2022-07-28 09:40:00-04:00,843.5,844.7000122070312,843.3599853515625,844.0050048828125,844.0050048828125,120044
2022-07-28 09:41:00-04:00,846.0,847.5,845.9600219726562,846.5599975585938,846.5599975585938,235477
2022-07-28 09:42:00-04:00,844.0,845.4550170898438,844.0,844.8300170898438,844.8300170898438,127596
2022-07-28 09:43:00-04:00,844.0,844.0,841.7100219726562,841.7100219726562,841.7100219726562,128362
2022-07-28 09:44:00-04:00,837.0,837.0054931640625,835.5,836.4000244140625,836.4000244140625,304299
2022-07-28 09:45:00-04:00,836.0,836.0,833.1749877929688,833.5,833.5,221377
2022-07-28 09:46:00-04:00,833.25,834.8499145507812,832.1400756835938,833.1699829101562,833.1699829101562,169090
2022-07-28 09:47:00-04:00,832.0,832.0870971679688,831.530029296875,831.7999877929688,831.7999877929688,153876
2022-07-28 09:48:00-04:00,833.0,833.8267822265625,833.0,833.0449829101562,833.0449829101562,200974
2022-07-28 09:49:00-04:00,833.0,833.780029296875,832.1900024414062,833.3300170898438,833.3300170898438,142407
2022-07-28 09:50:00-04:00,832.5,834.3154907226562,832.5,833.4697875976562,833.4697875976562,121739
2022-07-28 09:51:00-04:00,832.5,833.1500244140625,829.2899780273438,830.7849731445312,830.7849731445312,230355
2022-07-28 09:52:00-04:00,830.5,830.5,830.5,830.5,830.5,81452
2022-07-28 09:53:00-04:00,828.0,828.139892578125,826.219970703125,826.2449951171875,826.2449951171875,261388
2022-07-28 09:54:00-04:00,828.0,828.0,826.8699951171875,827.219970703125,827.219970703125,177501
2022-07-28 09:55:00-04:00,828.0,830.8400268554688,827.5449829101562,830.5,830.5,146289
2022-07-28 09:56:00-04:00,832.0,832.0599975585938,831.7000122070312,831.9168090820312,831.9168090820312,134096
2022-07-28 09:57:00-04:00,830.0,831.1799926757812,830.0,830.489990234375,830.489990234375,119810
2022-07-28 09:58:00-04:00,828.75,829.5802001953125,828.177490234375,829.010009765625,829.010009765625,92203
2022-07-28 09:59:00-04:00,828.8289794921875,829.5,827.3800048828125,828.1199951171875,828.1199951171875,86902
2022-07-28 10:00:00-04:00,828.5399780273438,831.2399291992188,828.4199829101562,830.9400024414062,830.9400024414062,140131
2022-07-28 10:01:00-04:00,830.64501953125,832.6699829101562,829.4000854492188,832.6362915039062,832.6362915039062,126863
2022-07-28 10:02:00-04:00,832.3200073242188,833.5599975585938,831.6900024414062,832.8800048828125,832.8800048828125,129118
2022-07-28 10:03:00-04:00,832.5999755859375,833.9000244140625,832.5999755859375,833.4749755859375,833.4749755859375,83654
2022-07-28 10:04:00-04:00,833.4600219726562,833.6599731445312,830.3800048828125,831.4799194335938,831.4799194335938,102239
